student_id,age,gender,major,class_level,international_student,first_generation,admission_term,academic_standing,gpa_band,student_status,at_risk_score,risk_category,at_risk_flag,latest_placement_score,placement_language,total_test_attempts,retake_required,has_hold,unresolved_hold_flag,avg_days_to_resolve_hold,intervention_received_flag,intervention_type,enrolled_flag,completed_flag,placement_score_band,hold_resolution_category,enrollment_delay_flag
1000,24,Male,Psychology,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate,0,Low Risk,0,81.0,English,1,Yes,Yes,No,9.0,Yes,Career Counseling,Yes,Yes,High,Moderate (8-14 days),No
1001,32,Non-binary,Education,Freshman,Yes,Yes,Spring 2023,Good Standing,Medium,Graduate,1,Low Risk,0,98.0,English,1,Yes,Yes,No,9.0,No,No Intervention,Yes,No,High,Moderate (8-14 days),No
1002,28,Male,Education,Freshman,No,Yes,Fall 2023,Good Standing,Medium,Dropout,3,Medium Risk,1,78.0,Math,1,No,Yes,No,29.0,No,No Intervention,Yes,No,Medium,Slow (>14 days),Yes
1003,25,Female,Architecture,Junior,Yes,No,Fall 2022,Probation,Medium,Enrolled,2,Medium Risk,1,60.0,Spanish,1,No,Yes,No,24.0,Yes,Career Counseling,Yes,Yes,Low,Slow (>14 days),Yes
1004,24,Non-binary,Computer Science,Sophomore,No,No,Fall 2023,Good Standing,Medium,Graduate,1,Low Risk,0,62.0,English,1,Yes,Yes,No,9.5,No,No Intervention,Yes,No,Medium,Moderate (8-14 days),No
1005,28,Non-binary,Psychology,Sophomore,No,No,Spring 2024,Good Standing,Low,Dropout,2,Medium Risk,1,69.0,Math,1,No,No,No,,Yes,Career Counseling,Yes,Yes,Medium,No Hold,No
1006,28,Male,Computer Science,Senior,No,Yes,Fall 2022,Good Standing,High,Graduate,2,Medium Risk,1,73.0,Math,1,No,Yes,Yes,,Yes,Career Counseling,,,Medium,No Hold,Yes
1007,21,Non-binary,Education,Junior,No,No,Fall 2022,Good Standing,Low,Dropout,3,Medium Risk,1,48.0,Math,1,Yes,No,No,,Yes,Career Counseling,Yes,No,Low,No Hold,No
1008,25,Non-binary,Biology,Freshman,No,Yes,Spring 2023,Good Standing,High,Enrolled,2,Medium Risk,1,70.0,Spanish,1,No,No,No,,No,No Intervention,Yes,Yes,Medium,No Hold,No
1009,20,Female,Mechanical Engineering,Sophomore,No,No,Fall 2022,Good Standing,High,Enrolled,2,Medium Risk,1,90.0,English,1,No,No,No,,No,No Intervention,Yes,Yes,High,No Hold,No
1010,19,Female,Business Administration,Sophomore,No,Yes,Fall 2022,Good Standing,Medium,Enrolled,2,Medium Risk,1,84.0,Math,2,Yes,No,No,,Yes,Career Counseling,Yes,Yes,High,No Hold,No
1011,29,Male,Education,Junior,No,No,Spring 2023,Good Standing,Medium,Graduate,3,Medium Risk,1,43.0,Spanish,2,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1012,23,Female,Nursing,Senior,No,No,Fall 2023,Good Standing,Low,Enrolled,2,Medium Risk,1,70.0,Spanish,1,No,No,No,,Yes,At-Risk Outreach,Yes,Yes,Medium,No Hold,No
1013,19,Male,Business Administration,Senior,Yes,No,Spring 2024,Good Standing,Medium,Enrolled,2,Medium Risk,1,75.0,English,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1014,18,Male,Education,Freshman,No,No,Fall 2023,Good Standing,Low,Enrolled,4,High Risk,1,83.0,Spanish,1,No,Yes,No,19.0,No,No Intervention,Yes,Yes,High,Slow (>14 days),Yes
1015,29,Male,Mechanical Engineering,Senior,No,Yes,Fall 2022,Warning,High,Graduate,1,Low Risk,0,67.0,Spanish,1,No,Yes,No,26.0,Yes,Financial Aid Guidance,Yes,Yes,Medium,Slow (>14 days),Yes
1016,29,Non-binary,Computer Science,Sophomore,No,Yes,Spring 2024,Good Standing,High,Graduate,0,Low Risk,0,80.0,Math,1,No,No,No,,Yes,At-Risk Outreach,Yes,No,Medium,No Hold,No
