student_id,age,gender,major,class_level,international_student,first_generation,admission_term,academic_standing,gpa_band,student_status,unresolved_hold_count,score,risk_gpa,risk_hold,risk_placement_score,risk_retake,risk_no_intervention,risk_delay,risk_status,at_risk_score,at_risk_flag,risk_category
1000,24,Male,Psychology,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate,0.0,81.0,0,0,0,0,0,0,0,0,0,Low Risk
1001,32,Non-binary,Education,Freshman,Yes,Yes,Spring 2023,Good Standing,Medium,Graduate,0.0,98.0,0,0,0,0,1,0,0,1,0,Low Risk
1002,28,Male,Education,Freshman,No,Yes,Fall 2023,Good Standing,Medium,Dropout,0.0,78.0,0,0,0,0,1,1,1,3,1,Medium Risk
1003,25,Female,Architecture,Junior,Yes,No,Fall 2022,Probation,Medium,Enrolled,0.0,60.0,0,0,0,0,0,1,1,2,1,Medium Risk
1004,24,Non-binary,Computer Science,Sophomore,No,No,Fall 2023,Good Standing,Medium,Graduate,0.0,62.0,0,0,0,0,1,0,0,1,0,Low Risk
1005,28,Non-binary,Psychology,Sophomore,No,No,Spring 2024,Good Standing,Low,Dropout,0.0,69.0,1,0,0,0,0,0,1,2,1,Medium Risk
1006,28,Male,Computer Science,Senior,No,Yes,Fall 2022,Good Standing,High,Graduate,1.0,73.0,0,1,0,0,0,1,0,2,1,Medium Risk
1007,21,Non-binary,Education,Junior,No,No,Fall 2022,Good Standing,Low,Dropout,0.0,48.0,1,0,1,0,0,0,1,3,1,Medium Risk
1008,25,Non-binary,Biology,Freshman,No,Yes,Spring 2023,Good Standing,High,Enrolled,0.0,70.0,0,0,0,0,1,0,1,2,1,Medium Risk
1009,20,Female,Mechanical Engineering,Sophomore,No,No,Fall 2022,Good Standing,High,Enrolled,0.0,90.0,0,0,0,0,1,0,1,2,1,Medium Risk
1010,19,Female,Business Administration,Sophomore,No,Yes,Fall 2022,Good Standing,Medium,Enrolled,0.0,84.0,0,0,0,1,0,0,1,2,1,Medium Risk
1011,29,Male,Education,Junior,No,No,Spring 2023,Good Standing,Medium,Graduate,0.0,43.0,0,0,1,1,1,0,0,3,1,Medium Risk
1012,23,Female,Nursing,Senior,No,No,Fall 2023,Good Standing,Low,Enrolled,0.0,70.0,1,0,0,0,0,0,1,2,1,Medium Risk
1013,19,Male,Business Administration,Senior,Yes,No,Spring 2024,Good Standing,Medium,Enrolled,0.0,75.0,0,0,0,0,1,0,1,2,1,Medium Risk
1014,18,Male,Education,Freshman,No,No,Fall 2023,Good Standing,Low,Enrolled,0.0,83.0,1,0,0,0,1,1,1,4,1,High Risk
1015,29,Male,Mechanical Engineering,Senior,No,Yes,Fall 2022,Warning,High,Graduate,0.0,67.0,0,0,0,0,0,1,0,1,0,Low Risk
1016,29,Non-binary,Computer Science,Sophomore,No,Yes,Spring 2024,Good Standing,High,Graduate,0.0,80.0,0,0,0,0,0,0,0,0,0,Low Risk
1017,34,Female,Biology,Senior,No,No,Fall 2023,Good Standing,Medium,Dropout,0.0,65.0,0,0,0,1,0,0,1,2,1,Medium Risk
1018,27,Male,Biology,Freshman,Yes,No,Spring 2024,Warning,Medium,Dropout,0.0,91.0,0,0,0,0,1,0,1,2,1,Medium Risk
1019,33,Female,Business Administration,Sophomore,No,No,Fall 2022,Good Standing,Medium,Graduate,0.0,91.0,0,0,0,0,1,0,0,1,0,Low Risk
1020,32,Male,Mechanical Engineering,Senior,Yes,No,Fall 2023,Good Standing,Medium,Graduate,0.0,89.0,0,0,0,1,0,0,0,1,0,Low Risk
1021,32,Female,Biology,Senior,No,No,Spring 2024,Good Standing,High,Enrolled,0.0,52.0,0,0,1,0,1,1,1,4,1,High Risk
1022,29,Female,Biology,Junior,No,No,Spring 2024,Good Standing,High,Enrolled,0.0,65.0,0,0,0,0,1,0,1,2,1,Medium Risk
1023,20,Male,Psychology,Freshman,No,Yes,Fall 2023,Good Standing,Medium,Graduate,0.0,56.0,0,0,1,1,0,0,0,2,1,Medium Risk
1024,22,Non-binary,Nursing,Senior,No,No,Fall 2023,Good Standing,Medium,Graduate,1.0,87.0,0,1,0,0,1,1,0,3,1,Medium Risk
1025,24,Female,Business Administration,Junior,Yes,Yes,Fall 2022,Warning,Medium,Graduate,0.0,44.0,0,0,1,0,1,0,0,2,1,Medium Risk
1026,26,Non-binary,Computer Science,Sophomore,No,Yes,Spring 2023,Good Standing,Medium,Dropout,0.0,65.0,0,0,0,0,1,0,1,2,1,Medium Risk
1027,24,Non-binary,Biology,Junior,No,No,Spring 2024,Good Standing,Low,Dropout,0.0,98.0,1,0,0,0,1,1,1,4,1,High Risk
1028,21,Male,Psychology,Junior,No,No,Fall 2023,Good Standing,High,Enrolled,0.0,64.0,0,0,0,0,1,0,1,2,1,Medium Risk
1029,31,Male,Mechanical Engineering,Senior,No,No,Fall 2023,Good Standing,Medium,Enrolled,0.0,73.0,0,0,0,0,0,0,1,1,0,Low Risk
1030,26,Male,Biology,Senior,No,No,Fall 2023,Good Standing,Medium,Graduate,1.0,49.0,0,1,1,0,0,1,0,3,1,Medium Risk
1031,19,Female,Architecture,Senior,No,No,Spring 2024,Good Standing,Medium,Dropout,0.0,57.0,0,0,1,1,0,0,1,3,1,Medium Risk
1032,32,Male,Nursing,Junior,Yes,Yes,Fall 2022,Good Standing,Medium,Graduate,0.0,52.0,0,0,1,1,0,1,0,3,1,Medium Risk
1033,24,Male,Computer Science,Sophomore,No,No,Spring 2023,Good Standing,Low,Enrolled,0.0,41.0,1,0,1,0,1,1,1,5,1,High Risk
1034,29,Female,Mechanical Engineering,Freshman,No,No,Spring 2024,Warning,Medium,Enrolled,0.0,50.0,0,0,1,0,1,0,1,3,1,Medium Risk
1035,25,Female,Mechanical Engineering,Junior,No,No,Fall 2022,Probation,High,Graduate,0.0,81.0,0,0,0,0,1,1,0,2,1,Medium Risk
1036,32,Male,Business Administration,Senior,No,Yes,Spring 2024,Good Standing,High,Graduate,1.0,99.0,0,1,0,0,1,1,0,3,1,Medium Risk
1037,20,Male,Biology,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate,0.0,60.0,0,0,0,0,0,1,0,1,0,Low Risk
1038,31,Male,Business Administration,Sophomore,No,No,Fall 2023,Good Standing,Medium,Dropout,1.0,41.0,0,1,1,1,1,1,1,6,1,High Risk
1039,34,Male,Computer Science,Freshman,No,No,Fall 2022,Good Standing,High,Dropout,0.0,89.0,0,0,0,0,0,0,1,1,0,Low Risk
1040,21,Non-binary,Architecture,Senior,No,No,Fall 2023,Good Standing,High,Dropout,0.0,48.0,0,0,1,0,1,0,1,3,1,Medium Risk
1041,25,Non-binary,Biology,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled,0.0,51.0,0,0,1,0,1,0,1,3,1,Medium Risk
1042,21,Male,Education,Junior,No,No,Fall 2022,Good Standing,Medium,Enrolled,1.0,87.0,0,1,0,0,0,1,1,3,1,Medium Risk
1043,19,Non-binary,Biology,Senior,No,No,Fall 2023,Good Standing,High,Graduate,0.0,47.0,0,0,1,0,1,0,0,2,1,Medium Risk
1044,23,Female,Architecture,Junior,No,No,Fall 2023,Probation,Medium,Enrolled,0.0,97.0,0,0,0,0,1,1,1,3,1,Medium Risk
1045,27,Non-binary,Education,Senior,No,No,Spring 2023,Good Standing,Medium,Graduate,0.0,60.0,0,0,0,0,0,0,0,0,0,Low Risk
1046,21,Non-binary,Mechanical Engineering,Junior,Yes,Yes,Fall 2022,Good Standing,Low,Dropout,0.0,79.0,1,0,0,0,1,0,1,3,1,Medium Risk
1047,29,Male,Business Administration,Junior,No,No,Fall 2022,Good Standing,High,Graduate,0.0,62.0,0,0,0,0,0,0,0,0,0,Low Risk
1048,19,Non-binary,Nursing,Junior,No,No,Fall 2023,Probation,Medium,Enrolled,0.0,67.0,0,0,0,0,1,0,1,2,1,Medium Risk
1049,27,Non-binary,Biology,Sophomore,No,No,Fall 2023,Good Standing,Medium,Dropout,0.0,80.0,0,0,0,0,1,0,1,2,1,Medium Risk
1050,21,Non-binary,Nursing,Sophomore,No,Yes,Fall 2022,Good Standing,High,Graduate,0.0,73.0,0,0,0,0,0,0,0,0,0,Low Risk
1051,31,Non-binary,Biology,Senior,No,No,Fall 2022,Good Standing,Medium,Dropout,0.0,61.0,0,0,0,0,1,0,1,2,1,Medium Risk
1052,33,Female,Mechanical Engineering,Sophomore,Yes,No,Spring 2024,Probation,High,Graduate,0.0,77.0,0,0,0,1,0,0,0,1,0,Low Risk
1053,32,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate,0.0,52.0,0,0,1,1,0,0,0,2,1,Medium Risk
1054,25,Male,Computer Science,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate,0.0,55.0,0,0,1,0,1,0,0,2,1,Medium Risk
1055,31,Female,Computer Science,Freshman,No,No,Fall 2023,Probation,High,Graduate,0.0,86.0,0,0,0,0,0,0,0,0,0,Low Risk
1056,25,Non-binary,Computer Science,Sophomore,No,No,Spring 2023,Probation,High,Enrolled,0.0,47.0,0,0,1,1,0,1,1,4,1,High Risk
1057,33,Female,Biology,Freshman,No,No,Spring 2023,Good Standing,Medium,Graduate,0.0,50.0,0,0,1,0,0,1,0,2,1,Medium Risk
1058,30,Non-binary,Biology,Freshman,No,Yes,Spring 2024,Good Standing,High,Dropout,0.0,86.0,0,0,0,0,1,0,1,2,1,Medium Risk
1059,32,Female,Nursing,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled,0.0,94.0,0,0,0,0,1,0,1,2,1,Medium Risk
1060,30,Male,Business Administration,Junior,No,Yes,Fall 2023,Good Standing,Medium,Dropout,0.0,63.0,0,0,0,1,1,0,1,3,1,Medium Risk
1061,26,Male,Architecture,Senior,No,Yes,Fall 2023,Good Standing,Low,Enrolled,0.0,69.0,1,0,0,1,1,1,1,5,1,High Risk
1062,32,Male,Biology,Freshman,No,No,Fall 2022,Good Standing,Medium,Dropout,0.0,83.0,0,0,0,0,0,1,1,2,1,Medium Risk
1063,30,Non-binary,Business Administration,Senior,Yes,No,Fall 2023,Good Standing,Medium,Graduate,0.0,88.0,0,0,0,0,1,0,0,1,0,Low Risk
1064,18,Non-binary,Nursing,Senior,No,No,Fall 2022,Good Standing,High,Graduate,0.0,54.0,0,0,1,0,1,0,0,2,1,Medium Risk
1065,24,Female,Biology,Freshman,No,No,Spring 2024,Good Standing,High,Graduate,0.0,87.0,0,0,0,0,1,0,0,1,0,Low Risk
1066,26,Female,Computer Science,Sophomore,No,Yes,Spring 2023,Good Standing,High,Dropout,0.0,76.0,0,0,0,0,1,0,1,2,1,Medium Risk
1067,18,Male,Computer Science,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate,0.0,43.0,0,0,1,0,1,0,0,2,1,Medium Risk
1068,29,Non-binary,Mechanical Engineering,Junior,No,Yes,Fall 2023,Good Standing,Medium,Enrolled,0.0,66.0,0,0,0,0,1,0,1,2,1,Medium Risk
1069,25,Female,Education,Freshman,No,No,Fall 2023,Good Standing,Medium,Enrolled,0.0,64.0,0,0,0,0,1,1,1,3,1,Medium Risk
1070,28,Non-binary,Psychology,Sophomore,No,No,Spring 2024,Good Standing,Medium,Graduate,0.0,74.0,0,0,0,0,1,0,0,1,0,Low Risk
1071,34,Non-binary,Architecture,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate,0.0,77.0,0,0,0,0,0,0,0,0,0,Low Risk
1072,25,Male,Education,Senior,No,No,Fall 2022,Good Standing,High,Enrolled,0.0,53.0,0,0,1,0,1,0,1,3,1,Medium Risk
1073,20,Male,Biology,Junior,No,No,Fall 2022,Good Standing,High,Graduate,0.0,98.0,0,0,0,0,1,1,0,2,1,Medium Risk
1074,20,Non-binary,Business Administration,Junior,No,No,Spring 2023,Good Standing,Low,Dropout,0.0,80.0,1,0,0,0,0,0,1,2,1,Medium Risk
1075,18,Non-binary,Biology,Junior,Yes,Yes,Spring 2023,Good Standing,Medium,Graduate,0.0,81.0,0,0,0,0,0,1,0,1,0,Low Risk
1076,22,Non-binary,Business Administration,Senior,No,Yes,Fall 2023,Good Standing,Medium,Graduate,0.0,75.0,0,0,0,0,1,1,0,2,1,Medium Risk
1077,27,Non-binary,Business Administration,Junior,No,No,Spring 2024,Probation,Medium,Graduate,0.0,62.0,0,0,0,0,0,0,0,0,0,Low Risk
1078,24,Male,Education,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate,0.0,99.0,0,0,0,0,1,0,0,1,0,Low Risk
1079,26,Female,Psychology,Senior,Yes,Yes,Fall 2023,Good Standing,High,Dropout,1.0,74.0,0,1,0,0,0,1,1,3,1,Medium Risk
1080,24,Male,Mechanical Engineering,Sophomore,No,Yes,Fall 2022,Good Standing,Low,Enrolled,0.0,63.0,1,0,0,0,1,0,1,3,1,Medium Risk
1081,26,Female,Education,Senior,No,No,Spring 2023,Good Standing,Medium,Enrolled,0.0,62.0,0,0,0,0,1,0,1,2,1,Medium Risk
1082,25,Non-binary,Psychology,Freshman,No,No,Spring 2024,Good Standing,High,Graduate,1.0,85.0,0,1,0,0,1,1,0,3,1,Medium Risk
1083,29,Female,Computer Science,Freshman,No,Yes,Fall 2023,Good Standing,Low,Dropout,0.0,84.0,1,0,0,0,1,1,1,4,1,High Risk
1084,19,Male,Computer Science,Junior,No,Yes,Fall 2022,Good Standing,Medium,Graduate,0.0,73.0,0,0,0,0,1,0,0,1,0,Low Risk
1085,18,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate,0.0,92.0,0,0,0,0,1,1,0,2,1,Medium Risk
1086,33,Non-binary,Nursing,Senior,No,No,Spring 2023,Good Standing,High,Enrolled,0.0,69.0,0,0,0,0,1,0,1,2,1,Medium Risk
1087,22,Male,Biology,Senior,No,Yes,Spring 2023,Good Standing,High,Dropout,0.0,76.0,0,0,0,1,1,0,1,3,1,Medium Risk
1088,20,Non-binary,Biology,Sophomore,No,Yes,Fall 2023,Good Standing,High,Enrolled,0.0,99.0,0,0,0,0,1,0,1,2,1,Medium Risk
