intervention_id,student_id,intervention_type,intervention_date,staff_assigned,outcome
2000,1000,Career Counseling,2023-12-19,Advisor Chen,No Response
2001,1003,Career Counseling,2023-10-04,Advisor Smith,In Progress
2002,1005,Career Counseling,2023-10-26,Advisor Jones,Follow-up Needed
2003,1005,Financial Aid Guidance,2023-10-08,Advisor Smith,Follow-up Needed
2004,1006,Financial Aid Guidance,2023-12-05,Advisor Chen,No Response
2005,1006,Career Counseling,2023-12-17,Advisor Smith,In Progress
2006,1007,Career Counseling,2023-11-19,Advisor Chen,Follow-up Needed
2007,1010,At-Risk Outreach,2023-11-12,Advisor Jones,In Progress
2008,1010,Career Counseling,2023-12-17,Advisor Smith,No Response
2009,1012,Career Counseling,2023-10-22,Advisor Smith,In Progress
2010,1012,At-Risk Outreach,2023-10-29,Advisor Garcia,Follow-up Needed
2011,1015,Financial Aid Guidance,2023-11-14,Advisor Smith,Successful
2012,1015,Career Counseling,2023-10-14,Advisor Smith,Successful
2013,1016,Financial Aid Guidance,2023-10-11,Advisor Jones,No Response
2014,1016,At-Risk Outreach,2023-11-08,Advisor Jones,No Response
2015,1017,Financial Aid Guidance,2023-11-27,Advisor Jones,In Progress
2016,1017,Career Counseling,2023-10-29,Advisor Jones,In Progress
2017,1020,Academic Planning,2023-10-27,Advisor Smith,Follow-up Needed
2018,1023,At-Risk Outreach,2023-10-29,Advisor Chen,Successful
2019,1029,Career Counseling,2023-11-13,Advisor Chen,In Progress
2020,1030,Career Counseling,2023-12-16,Advisor Smith,In Progress
2021,1031,Academic Planning,2023-12-18,Advisor Chen,In Progress
2022,1031,At-Risk Outreach,2023-12-08,Advisor Smith,In Progress
2023,1032,Financial Aid Guidance,2023-11-01,Advisor Garcia,In Progress
2024,1037,Career Counseling,2023-12-19,Advisor Jones,Follow-up Needed
2025,1037,At-Risk Outreach,2023-10-27,Advisor Garcia,Follow-up Needed
2026,1039,Financial Aid Guidance,2023-12-26,Advisor Garcia,In Progress
2027,1042,Academic Planning,2023-12-07,Advisor Chen,In Progress
2028,1045,Career Counseling,2023-11-01,Advisor Chen,In Progress
2029,1045,Financial Aid Guidance,2023-10-17,Advisor Smith,Successful
2030,1047,Financial Aid Guidance,2023-12-07,Advisor Chen,In Progress
2031,1050,Academic Planning,2023-12-17,Advisor Chen,Follow-up Needed
2032,1050,Academic Planning,2023-11-24,Advisor Garcia,Follow-up Needed
2033,1052,Career Counseling,2023-10-02,Advisor Chen,Follow-up Needed
2034,1052,Financial Aid Guidance,2023-10-22,Advisor Smith,Follow-up Needed
2035,1053,Academic Planning,2023-10-22,Advisor Chen,No Response
2036,1055,Financial Aid Guidance,2023-10-31,Advisor Smith,Successful
2037,1056,At-Risk Outreach,2023-11-28,Advisor Smith,Follow-up Needed
2038,1056,At-Risk Outreach,2023-10-27,Advisor Chen,Follow-up Needed
2039,1057,At-Risk Outreach,2023-10-06,Advisor Jones,Successful
2040,1057,Academic Planning,2023-10-09,Advisor Chen,In Progress
2041,1062,Career Counseling,2023-12-04,Advisor Chen,Follow-up Needed
2042,1071,Academic Planning,2023-11-05,Advisor Smith,No Response
2043,1074,Career Counseling,2023-12-15,Advisor Smith,Successful
2044,1075,Academic Planning,2023-12-04,Advisor Chen,Follow-up Needed
2045,1075,At-Risk Outreach,2023-10-11,Advisor Chen,Follow-up Needed
2046,1077,Career Counseling,2023-11-06,Advisor Jones,Successful
2047,1077,Academic Planning,2023-10-21,Advisor Smith,Follow-up Needed
2048,1079,Career Counseling,2023-12-02,Advisor Garcia,No Response
2049,1089,Academic Planning,2023-12-26,Advisor Chen,Follow-up Needed
2050,1092,At-Risk Outreach,2023-12-25,Advisor Smith,In Progress
2051,1092,Academic Planning,2023-11-19,Advisor Smith,Follow-up Needed
2052,1094,At-Risk Outreach,2023-10-26,Advisor Chen,Follow-up Needed
2053,1094,Financial Aid Guidance,2023-11-17,Advisor Garcia,Follow-up Needed
2054,1096,Career Counseling,2023-12-08,Advisor Smith,In Progress
2055,1097,At-Risk Outreach,2023-12-14,Advisor Jones,In Progress
2056,1097,Financial Aid Guidance,2023-12-20,Advisor Smith,Successful
2057,1098,Career Counseling,2023-12-28,Advisor Chen,Follow-up Needed
2058,1098,Financial Aid Guidance,2023-11-11,Advisor Jones,No Response
2059,1099,Academic Planning,2023-12-24,Advisor Chen,Successful
2060,1101,Academic Planning,2023-10-31,Advisor Jones,In Progress
2061,1101,Academic Planning,2023-11-20,Advisor Smith,In Progress
2062,1104,Career Counseling,2023-11-04,Advisor Chen,In Progress
2063,1108,Financial Aid Guidance,2023-10-27,Advisor Garcia,In Progress
2064,1108,Academic Planning,2023-12-21,Advisor Jones,In Progress
2065,1114,Financial Aid Guidance,2023-12-10,Advisor Garcia,In Progress
2066,1114,Academic Planning,2023-10-13,Advisor Jones,No Response
2067,1116,Academic Planning,2023-12-26,Advisor Chen,Successful
2068,1117,Financial Aid Guidance,2023-11-19,Advisor Smith,In Progress
2069,1117,Financial Aid Guidance,2023-11-24,Advisor Garcia,Successful
2070,1119,Career Counseling,2023-11-26,Advisor Chen,Successful
2071,1119,At-Risk Outreach,2023-10-07,Advisor Chen,In Progress
2072,1120,At-Risk Outreach,2023-10-21,Advisor Garcia,In Progress
2073,1120,Career Counseling,2023-12-18,Advisor Garcia,No Response
2074,1123,At-Risk Outreach,2023-10-11,Advisor Garcia,Successful
2075,1123,At-Risk Outreach,2023-11-23,Advisor Garcia,Follow-up Needed
2076,1138,At-Risk Outreach,2023-10-01,Advisor Jones,Follow-up Needed
2077,1138,Academic Planning,2023-10-30,Advisor Garcia,Follow-up Needed
