enrollment_id,student_id,course_level,enrolled_flag,enrollment_date,final_grade,completed_flag
3000,1000,300,Yes,2024-01-17,A,Yes
3001,1000,300,Yes,2024-01-19,D,Yes
3002,1000,100,Yes,2024-01-09,A,Yes
3003,1001,400,Yes,2024-01-18,A,Yes
3004,1001,100,Yes,2024-01-12,F,No
3005,1001,200,Yes,2024-01-19,F,No
3006,1002,200,Yes,2024-01-05,C,Yes
3007,1002,300,Yes,2024-01-08,B,Yes
3008,1002,100,Yes,2024-01-15,F,No
3009,1002,300,Yes,2024-01-16,B,Yes
3010,1002,300,Yes,2024-01-03,B,Yes
3011,1003,200,Yes,2024-01-10,B,Yes
3012,1003,100,Yes,2024-01-14,C,Yes
3013,1003,100,Yes,2024-01-04,C,Yes
3014,1003,100,Yes,2024-01-10,A,Yes
3015,1003,400,Yes,2024-01-02,A,Yes
3016,1004,300,Yes,2024-01-04,F,No
3017,1004,200,Yes,2024-01-15,C,Yes
3018,1004,300,Yes,2023-12-31,W,No
3019,1004,200,Yes,2024-01-18,C,Yes
3020,1004,200,Yes,2024-01-18,A,Yes
3021,1005,400,Yes,2024-01-06,D,Yes
3022,1005,100,Yes,2023-12-31,C,Yes
3023,1005,200,Yes,2024-01-09,A,Yes
3024,1007,200,Yes,2024-01-19,B,Yes
3025,1007,400,Yes,2024-01-07,F,No
3026,1007,300,Yes,2024-01-18,A,Yes
3027,1007,100,Yes,2024-01-10,C,Yes
3028,1008,300,Yes,2024-01-16,A,Yes
3029,1008,100,Yes,2024-01-18,A,Yes
3030,1008,400,Yes,2024-01-10,B,Yes
3031,1008,200,Yes,2024-01-08,C,Yes
3032,1009,200,Yes,2024-01-09,B,Yes
3033,1009,400,Yes,2024-01-16,C,Yes
3034,1009,200,Yes,2024-01-17,C,Yes
3035,1009,300,Yes,2024-01-09,B,Yes
3036,1009,100,Yes,2024-01-11,C,Yes
3037,1010,200,Yes,2024-01-09,D,Yes
3038,1010,400,Yes,2024-01-02,A,Yes
3039,1010,300,Yes,2024-01-14,A,Yes
3040,1010,100,Yes,2024-01-05,A,Yes
3041,1011,300,Yes,2024-01-04,A,Yes
3042,1011,300,Yes,2024-01-18,B,Yes
3043,1011,400,Yes,2024-01-08,C,Yes
3044,1011,200,Yes,2024-01-07,B,Yes
3045,1011,100,Yes,2024-01-01,F,No
3046,1012,400,Yes,2024-01-18,C,Yes
3047,1012,100,Yes,2024-01-15,C,Yes
3048,1012,200,Yes,2024-01-04,C,Yes
3049,1012,200,Yes,2024-01-02,B,Yes
3050,1013,200,Yes,2024-01-17,F,No
3051,1013,300,Yes,2024-01-08,D,Yes
3052,1013,100,Yes,2024-01-08,A,Yes
3053,1013,400,Yes,2024-01-04,W,No
3054,1014,100,Yes,2024-01-15,A,Yes
3055,1014,200,Yes,2024-01-16,C,Yes
3056,1014,400,Yes,2024-01-13,A,Yes
3057,1014,100,Yes,2024-01-16,D,Yes
3058,1015,300,Yes,2024-01-02,D,Yes
3059,1015,300,Yes,2024-01-14,B,Yes
3060,1015,100,Yes,2024-01-16,C,Yes
3061,1015,100,Yes,2024-01-06,B,Yes
3062,1015,200,Yes,2024-01-11,A,Yes
3063,1016,100,Yes,2024-01-01,F,No
3064,1016,200,Yes,2024-01-19,C,Yes
3065,1016,200,Yes,2024-01-18,C,Yes
3066,1016,300,Yes,2024-01-04,B,Yes
3067,1017,100,Yes,2024-01-14,C,Yes
3068,1017,400,Yes,2024-01-04,B,Yes
3069,1017,200,Yes,2024-01-13,C,Yes
3070,1018,300,Yes,2024-01-14,A,Yes
3071,1018,400,Yes,2024-01-01,C,Yes
3072,1018,200,Yes,2024-01-06,W,No
3073,1018,300,Yes,2024-01-04,F,No
3074,1019,100,Yes,2024-01-12,F,No
3075,1019,200,Yes,2023-12-31,B,Yes
3076,1019,100,Yes,2024-01-05,B,Yes
3077,1019,300,Yes,2024-01-12,C,Yes
3078,1019,300,Yes,2024-01-06,F,No
3079,1020,300,Yes,2024-01-07,B,Yes
3080,1020,100,Yes,2023-12-31,A,Yes
3081,1020,300,Yes,2024-01-10,F,No
3082,1020,400,Yes,2024-01-18,A,Yes
3083,1020,400,Yes,2024-01-15,B,Yes
3084,1021,300,Yes,2023-12-31,F,No
3085,1021,200,Yes,2024-01-18,A,Yes
3086,1021,300,Yes,2024-01-06,F,No
