hold_id,student_id,hold_type,hold_created_date,hold_removed_date,status,days_to_resolve
8000,1000,Financial,2023-10-20,2023-10-29,Resolved,9.0
8001,1001,Immunization,2023-10-16,2023-10-24,Resolved,8.0
8002,1001,Immunization,2023-10-15,2023-10-25,Resolved,10.0
8003,1002,Transcript,2023-09-21,2023-10-20,Resolved,29.0
8004,1003,Academic Advising,2023-09-11,2023-10-05,Resolved,24.0
8005,1004,Disciplinary,2023-09-25,2023-09-29,Resolved,4.0
8006,1004,Disciplinary,2023-10-13,2023-10-28,Resolved,15.0
8007,1006,Transcript,2023-09-24,,Active,
8008,1014,Academic Advising,2023-09-23,2023-10-12,Resolved,19.0
8009,1015,Disciplinary,2023-10-28,2023-11-23,Resolved,26.0
8010,1021,Transcript,2023-10-29,2023-11-24,Resolved,26.0
8011,1021,Disciplinary,2023-09-02,2023-09-05,Resolved,3.0
8012,1024,Transcript,2023-10-28,2023-11-10,Resolved,13.0
8013,1024,Immunization,2023-09-23,,Active,
8014,1027,Transcript,2023-10-03,2023-10-09,Resolved,6.0
8015,1027,Disciplinary,2023-10-02,2023-10-24,Resolved,22.0
8016,1030,Academic Advising,2023-10-20,,Active,
8017,1030,Financial,2023-10-21,2023-11-13,Resolved,23.0
8018,1032,Financial,2023-10-10,2023-10-18,Resolved,8.0
8019,1032,Immunization,2023-10-20,2023-11-06,Resolved,17.0
8020,1033,Academic Advising,2023-09-01,2023-09-11,Resolved,10.0
8021,1033,Academic Advising,2023-10-09,2023-10-27,Resolved,18.0
8022,1035,Financial,2023-10-26,2023-10-30,Resolved,4.0
8023,1035,Academic Advising,2023-09-29,2023-10-15,Resolved,16.0
8024,1036,Immunization,2023-10-11,,Active,
8025,1036,Financial,2023-10-24,2023-11-04,Resolved,11.0
8026,1037,Immunization,2023-09-21,2023-10-17,Resolved,26.0
8027,1037,Immunization,2023-09-08,2023-10-05,Resolved,27.0
8028,1038,Financial,2023-10-08,,Active,
8029,1038,Disciplinary,2023-09-06,2023-09-09,Resolved,3.0
8030,1042,Financial,2023-10-15,,Active,
8031,1044,Academic Advising,2023-09-04,2023-09-09,Resolved,5.0
8032,1044,Disciplinary,2023-10-21,2023-11-18,Resolved,28.0
8033,1056,Disciplinary,2023-10-03,2023-10-29,Resolved,26.0
8034,1056,Financial,2023-10-26,2023-11-15,Resolved,20.0
8035,1057,Transcript,2023-09-30,2023-10-25,Resolved,25.0
8036,1061,Disciplinary,2023-10-24,2023-10-30,Resolved,6.0
8037,1061,Academic Advising,2023-10-30,2023-11-18,Resolved,19.0
8038,1062,Academic Advising,2023-10-12,2023-11-02,Resolved,21.0
8039,1062,Transcript,2023-10-26,2023-10-30,Resolved,4.0
8040,1069,Academic Advising,2023-09-10,2023-09-26,Resolved,16.0
8041,1070,Academic Advising,2023-09-09,2023-09-23,Resolved,14.0
8042,1071,Academic Advising,2023-10-10,2023-10-13,Resolved,3.0
8043,1071,Financial,2023-09-19,2023-09-22,Resolved,3.0
8044,1073,Transcript,2023-09-06,2023-10-05,Resolved,29.0
8045,1073,Immunization,2023-10-20,2023-11-01,Resolved,12.0
8046,1075,Financial,2023-10-08,2023-10-29,Resolved,21.0
8047,1076,Immunization,2023-10-09,2023-11-01,Resolved,23.0
8048,1076,Transcript,2023-10-12,2023-10-30,Resolved,18.0
8049,1079,Disciplinary,2023-10-02,,Active,
8050,1079,Transcript,2023-10-26,2023-10-30,Resolved,4.0
8051,1082,Immunization,2023-09-25,,Active,
8052,1083,Academic Advising,2023-09-09,2023-10-02,Resolved,23.0
8053,1083,Financial,2023-09-26,2023-10-04,Resolved,8.0
8054,1085,Academic Advising,2023-09-24,2023-10-21,Resolved,27.0
8055,1085,Disciplinary,2023-09-02,2023-09-03,Resolved,1.0
8056,1086,Immunization,2023-09-24,2023-09-28,Resolved,4.0
8057,1086,Immunization,2023-09-26,2023-10-02,Resolved,6.0
8058,1090,Disciplinary,2023-10-13,,Active,
8059,1090,Academic Advising,2023-09-01,2023-09-10,Resolved,9.0
8060,1092,Disciplinary,2023-10-24,2023-10-27,Resolved,3.0
8061,1096,Financial,2023-09-02,,Active,
8062,1104,Academic Advising,2023-09-17,2023-09-18,Resolved,1.0
8063,1104,Academic Advising,2023-09-18,,Active,
8064,1111,Financial,2023-10-12,2023-10-27,Resolved,15.0
8065,1111,Transcript,2023-10-10,2023-10-14,Resolved,4.0
8066,1116,Transcript,2023-09-01,2023-09-10,Resolved,9.0
8067,1118,Disciplinary,2023-10-25,2023-11-13,Resolved,19.0
8068,1121,Disciplinary,2023-10-28,2023-11-17,Resolved,20.0
8069,1122,Disciplinary,2023-09-02,2023-09-21,Resolved,19.0
8070,1123,Immunization,2023-09-15,2023-09-22,Resolved,7.0
8071,1123,Disciplinary,2023-10-25,2023-11-04,Resolved,10.0
8072,1125,Transcript,2023-10-15,2023-10-16,Resolved,1.0
8073,1128,Transcript,2023-09-08,2023-09-25,Resolved,17.0
8074,1128,Academic Advising,2023-10-01,2023-10-14,Resolved,13.0
8075,1129,Financial,2023-10-11,2023-10-24,Resolved,13.0
8076,1130,Academic Advising,2023-10-11,2023-10-13,Resolved,2.0
8077,1130,Transcript,2023-10-20,2023-11-06,Resolved,17.0
8078,1131,Disciplinary,2023-09-11,,Active,
8079,1131,Academic Advising,2023-10-25,2023-11-22,Resolved,28.0
8080,1133,Disciplinary,2023-10-21,2023-11-14,Resolved,24.0
8081,1135,Financial,2023-09-09,2023-09-23,Resolved,14.0
8082,1140,Disciplinary,2023-09-03,2023-09-25,Resolved,22.0
8083,1140,Academic Advising,2023-10-29,2023-11-01,Resolved,3.0
8084,1141,Academic Advising,2023-10-29,2023-11-09,Resolved,11.0
8085,1144,Disciplinary,2023-09-25,2023-10-02,Resolved,7.0
8086,1144,Disciplinary,2023-10-21,2023-10-23,Resolved,2.0
