student_id,age,gender,major,class_level,international_student,first_generation,admission_term,academic_standing,gpa_band,student_status
1000,24,Male,Psychology,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate
1001,32,Non-binary,Education,Freshman,Yes,Yes,Spring 2023,Good Standing,Medium,Graduate
1002,28,Male,Education,Freshman,No,Yes,Fall 2023,Good Standing,Medium,Dropout
1003,25,Female,Architecture,Junior,Yes,No,Fall 2022,Probation,Medium,Enrolled
1004,24,Non-binary,Computer Science,Sophomore,No,No,Fall 2023,Good Standing,Medium,Graduate
1005,28,Non-binary,Psychology,Sophomore,No,No,Spring 2024,Good Standing,Low,Dropout
1006,28,Male,Computer Science,Senior,No,Yes,Fall 2022,Good Standing,High,Graduate
1007,21,Non-binary,Education,Junior,No,No,Fall 2022,Good Standing,Low,Dropout
1008,25,Non-binary,Biology,Freshman,No,Yes,Spring 2023,Good Standing,High,Enrolled
1009,20,Female,Mechanical Engineering,Sophomore,No,No,Fall 2022,Good Standing,High,Enrolled
1010,19,Female,Business Administration,Sophomore,No,Yes,Fall 2022,Good Standing,Medium,Enrolled
1011,29,Male,Education,Junior,No,No,Spring 2023,Good Standing,Medium,Graduate
1012,23,Female,Nursing,Senior,No,No,Fall 2023,Good Standing,Low,Enrolled
1013,19,Male,Business Administration,Senior,Yes,No,Spring 2024,Good Standing,Medium,Enrolled
1014,18,Male,Education,Freshman,No,No,Fall 2023,Good Standing,Low,Enrolled
1015,29,Male,Mechanical Engineering,Senior,No,Yes,Fall 2022,Warning,High,Graduate
1016,29,Non-binary,Computer Science,Sophomore,No,Yes,Spring 2024,Good Standing,High,Graduate
1017,34,Female,Biology,Senior,No,No,Fall 2023,Good Standing,Medium,Dropout
1018,27,Male,Biology,Freshman,Yes,No,Spring 2024,Warning,Medium,Dropout
1019,33,Female,Business Administration,Sophomore,No,No,Fall 2022,Good Standing,Medium,Graduate
1020,32,Male,Mechanical Engineering,Senior,Yes,No,Fall 2023,Good Standing,Medium,Graduate
1021,32,Female,Biology,Senior,No,No,Spring 2024,Good Standing,High,Enrolled
1022,29,Female,Biology,Junior,No,No,Spring 2024,Good Standing,High,Enrolled
